Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.75     12.65    12.65  1898800     0.01     0.01  __math_MOD_lubksb
 13.25     17.77     5.12    18800     0.27     0.27  __math_MOD_ludcmp
 10.95     22.00     4.23 120090018     0.00     0.00  coul19_
 10.23     25.95     3.95 240180036     0.00     0.00  coulan3_
  8.02     29.05     3.10 247911262     0.00     0.00  expint_
  4.71     30.87     1.82 120576734     0.00     0.00  thavi18_
  3.16     32.09     1.22   290000     0.00     0.05  thav18_
  2.54     33.07     0.98     1001     0.98     3.08  bevol_
  2.43     34.01     0.94     5006     0.19     0.19  curl_phi_
  1.99     34.78     0.77     1001     0.77     0.77  surface_transition_
  1.45     35.34     0.56      100     5.60   186.40  __math_MOD_solvtb
  0.83     35.66     0.32 12433144     0.00     0.00  fitfermi_
  0.80     35.97     0.31    18800     0.02     0.96  __math_MOD_getugam
  0.72     36.25     0.28  8141200     0.00     0.00  eff_mass_
  0.72     36.53     0.28 120090018     0.00     0.00  coul18i_
  0.49     36.72     0.19     3003     0.06     0.06  curl_pol_
  0.39     36.87     0.15      100     1.50   155.50  difdrv_
  0.36     37.01     0.14  3760000     0.00     0.00  qsynchro_
  0.34     37.14     0.13      100     1.30   187.70  tevol_
  0.23     37.23     0.09   623700     0.00     0.00  excorm_
  0.21     37.31     0.08  3760000     0.00     0.00  qplasma_
  0.18     37.38     0.07    75070     0.00     0.01  denrfit_
  0.18     37.45     0.07                             coulan_
  0.18     37.52     0.07     1002     0.07     0.07  vacuumbc_
  0.16     37.58     0.06  3760000     0.00     0.00  qcpbf_co_
  0.16     37.64     0.06  2555100     0.00     0.00  bzinterp_
  0.16     37.70     0.06  2520000     0.00     0.00  en_cond_
  0.16     37.76     0.06   577338     0.00     0.00  fscrsol8_
  0.16     37.82     0.06     1002     0.06     0.06  bmodulus_
  0.13     37.87     0.05  3760000     0.00     0.00  qmurca_
  0.13     37.92     0.05   970000     0.00     0.00  condegin_
  0.13     37.97     0.05   623700     0.00     0.00  chemfit7_
  0.10     38.01     0.04  1861200     0.00     0.00  cvf_
  0.10     38.05     0.04   970000     0.00     0.00  condin_
  0.10     38.09     0.04   577338     0.00     0.00  hlmag_
  0.08     38.12     0.03  3780000     0.00     0.00  tensor_
  0.08     38.15     0.03  3760000     0.00     0.00  q3_
  0.08     38.18     0.03  3760000     0.00     0.00  qbpp_
  0.08     38.21     0.03  3760000     0.00     0.00  qpair_
  0.05     38.23     0.02 17104954     0.00     0.00  v1_
  0.05     38.25     0.02  8500000     0.00     0.00  kfermi_
  0.05     38.27     0.02  3850000     0.00     0.00  rfun_
  0.05     38.29     0.02  3780000     0.00     0.00  shear_
  0.05     38.31     0.02  1940000     0.00     0.00  coulan2_
  0.05     38.33     0.02  1797214     0.00     0.00  rrmp_pa_
  0.05     38.35     0.02  1524592     0.00     0.00  rrcv_a_cru_
  0.05     38.37     0.02   623700     0.00     0.00  eosfim12_
  0.05     38.39     0.02   623700     0.00     0.00  eosmag_
  0.05     38.41     0.02   623700     0.00     0.00  ferinv7_
  0.03     38.42     0.01  3850000     0.00     0.00  zfun_
  0.03     38.43     0.01  3760000     0.00     0.00  qbnn_
  0.03     38.44     0.01  3760000     0.00     0.00  qbnp_
  0.03     38.45     0.01  3760000     0.00     0.00  qcpbf_cr_
  0.03     38.46     0.01  3080124     0.00     0.00  ffa_
  0.03     38.47     0.01  2395920     0.00     0.00  rrd_b_
  0.03     38.48     0.01  1861200     0.00     0.00  ccvfn_
  0.03     38.49     0.01  1330000     0.00     0.00  rcfun_
  0.03     38.50     0.01  1260000     0.00     0.01  potekhin2019_
  0.03     38.51     0.01  1237500     0.00     0.00  ccvfe_
  0.03     38.52     0.01   970000     0.00     0.00  coulin_
  0.03     38.53     0.01   970000     0.00     0.00  hlfit8_
  0.03     38.54     0.01   623598     0.00     0.00  elect11b_
  0.03     38.55     0.01   577338     0.00     0.00  anharm8_
  0.03     38.56     0.01   577338     0.00     0.00  hlfit12_
  0.03     38.57     0.01   290298     0.00     0.00  taueesy_
  0.03     38.58     0.01   290000     0.00     0.05  conduct_
  0.03     38.59     0.01   216080     0.00     0.00  chemfit_
  0.03     38.60     0.01    18748     0.00     0.00  elect11a_
  0.03     38.61     0.01      100     0.10     6.65  emiss_
  0.03     38.62     0.01       11     0.91     0.91  bwrite_
  0.03     38.63     0.01       10     1.00     1.00  output_
