Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 18.52      2.41     2.41 85406740     0.00     0.00  coulan3_
 17.06      4.63     2.22 42703370     0.00     0.00  coul19_
 15.60      6.66     2.03 87519884     0.00     0.00  expint_
 12.07      8.23     1.57   499800     0.00     0.00  __math_MOD_lubksb
  7.30      9.18     0.95 42956135     0.00     0.00  thavi18_
  6.92     10.08     0.90   110000     0.01     0.08  thav18_
  3.84     10.58     0.50     9800     0.05     0.05  __math_MOD_ludcmp
  3.69     11.06     0.48     5006     0.10     0.10  curl_phi_
  2.61     11.40     0.34     1001     0.34     1.00  __magnetic_evolution_MOD_magnetic_evol
  1.77     11.63     0.23  6686078     0.00     0.00  fitfermi_
  1.69     11.85     0.22 42703370     0.00     0.00  coul18i_
  1.23     12.01     0.16     3003     0.05     0.05  curl_pol_
  0.92     12.13     0.12      100     1.20    22.80  __math_MOD_solvtb
  0.69     12.22     0.09   185000     0.00     0.00  excorm_
  0.69     12.31     0.09     9800     0.01     0.22  __math_MOD_getugam
  0.61     12.39     0.08   980000     0.00     0.00  qsynchro_
  0.46     12.45     0.06   615000     0.00     0.00  en_cond_
  0.23     12.48     0.03   530000     0.00     0.00  coulan2_
  0.23     12.51     0.03   265000     0.00     0.00  condegin_
  0.23     12.54     0.03   265000     0.00     0.00  coulin_
  0.23     12.57     0.03   185000     0.00     0.00  chemfit7_
  0.23     12.60     0.03   121432     0.00     0.00  taueesy_
  0.23     12.63     0.03    53089     0.00     0.00  denrfit_
  0.23     12.66     0.03     5836     0.01     0.01  __grid_MOD_build_grid
  0.23     12.69     0.03      100     0.30    92.35  difdrv_
  0.15     12.71     0.02   980000     0.00     0.00  qbnn_
  0.15     12.73     0.02   495000     0.00     0.00  cv_func_
  0.15     12.75     0.02   265000     0.00     0.00  hlfit8_
  0.15     12.77     0.02   185000     0.00     0.00  sommerf_
  0.15     12.79     0.02   170665     0.00     0.00  fscrsol8_
  0.15     12.81     0.02   170665     0.00     0.00  hlmag_
