Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.88      3.08     3.08  1009800     0.00     0.00  __math_MOD_lubksb
 12.50      4.84     1.76     5006     0.35     0.35  curl_phi_
  9.30      6.15     1.31    19800     0.07     0.07  __math_MOD_ludcmp
  8.67      7.37     1.22     1001     1.22     3.78  __magnetic_evolution_MOD_magnetic_evol
  6.04      8.22     0.85 33018346     0.00     0.00  expint_
  5.33      8.97     0.75     3003     0.25     0.25  curl_pol_
  4.76      9.64     0.67 14574273     0.00     0.00  coul19_
  3.84     10.18     0.54 14574273     0.00     0.00  coulan3_
  3.84     10.72     0.54 13563278     0.00     0.00  fitfermi_
  3.20     11.17     0.45      100     4.50    50.10  __math_MOD_solvtb
  2.20     11.48     0.31   220000     0.00     0.01  thav18_
  2.06     11.77     0.29 14575473     0.00     0.00  thavi18_
  1.42     11.97     0.20  4220000     0.00     0.00  eff_mass_
  1.21     12.14     0.17    19800     0.01     0.23  __math_MOD_getugam
  1.07     12.29     0.15  1980000     0.00     0.00  qsynchro_
  1.07     12.44     0.15   370000     0.00     0.00  excorm_
  0.78     12.55     0.11  1980000     0.00     0.00  qplasma_
  0.71     12.65     0.10   108649     0.00     0.01  denrfit_
  0.50     12.72     0.07  8411980     0.00     0.00  v1_
  0.50     12.79     0.07   370000     0.00     0.00  eosfim12_
  0.50     12.86     0.07      100     0.70    37.38  difdrv_
  0.43     12.92     0.06  1980000     0.00     0.00  qpair_
  0.43     12.98     0.06  1245000     0.00     0.00  en_cond_
  0.43     13.04     0.06   370000     0.00     0.00  chemfit7_
  0.43     13.10     0.06   340022     0.00     0.00  hlfit12_
  0.43     13.16     0.06    10939     0.01     0.01  __grid_MOD_build_grid
  0.36     13.21     0.05   885000     0.00     0.00  coulan2_
  0.36     13.26     0.05   340022     0.00     0.00  hlmag_
  0.36     13.31     0.05     1001     0.05     0.05  vacuumbc_
  0.28     13.35     0.04   370000     0.00     0.00  elect11b_
  0.28     13.39     0.04      100     0.40    50.50  tevol_
  0.21     13.42     0.03  1980000     0.00     0.00  q3_
  0.21     13.45     0.03  1980000     0.00     0.00  qbnn_
  0.21     13.48     0.03   525000     0.00     0.00  condin_
  0.21     13.51     0.03   525000     0.00     0.00  coulin_
  0.21     13.54     0.03   525000     0.00     0.00  hlfit8_
  0.21     13.57     0.03   370000     0.00     0.00  chemag8_
  0.21     13.60     0.03   370000     0.00     0.00  ferinv7_
  0.21     13.63     0.03   220000     0.00     0.01  conduct_
  0.14     13.65     0.02  1980000     0.00     0.00  qbpp_
  0.14     13.67     0.02  1980000     0.00     0.00  qcpbf_cr_
  0.14     13.69     0.02  1980000     0.00     0.00  qdurca_
  0.14     13.71     0.02  1127000     0.00     0.00  rrd_a_
  0.14     13.73     0.02  1122650     0.00     0.00  zfun_
  0.14     13.75     0.02   995000     0.00     0.00  ccvfn_
  0.14     13.77     0.02   781666     0.00     0.00  rrcv_a_cru_
  0.14     13.79     0.02   745000     0.00     0.00  potekhin2019_
  0.14     13.81     0.02   340022     0.00     0.00  fharmag_
  0.14     13.83     0.02   340022     0.00     0.00  fscrsol8_
  0.14     13.85     0.02      100     0.20     6.94  cvtot_
  0.07     13.86     0.01  4480000     0.00     0.00  kfermi_
  0.07     13.87     0.01  1980000     0.00     0.00  qbnp_
  0.07     13.88     0.01  1980000     0.00     0.00  qcpbf_co_
  0.07     13.89     0.01  1980000     0.00     0.00  qeabrems_
  0.07     13.90     0.01  1980000     0.00     0.00  qepbrems_
  0.07     13.91     0.01  1980000     0.00     0.00  qmurca_
  0.07     13.92     0.01  1563332     0.00     0.00  ffa_
